epoch,train_loss,train_acc,val_loss,val_acc,time
1,2.6464528845544772,0.8683748885629655,5.1598133087158205,0.8470274655232356,43.17
2,1.7347004414569214,0.8923877721220487,5.1256839425333085,0.8484181249275698,42.92
3,1.3311794832782837,0.9124033014120151,4.956625261614399,0.8492293429134314,42.76
4,1.0791833742150982,0.9272711586575791,4.915650351970426,0.8496928960482095,42.23
5,0.8833457234897274,0.9395508009087511,4.908108542042394,0.8501564491829876,42.03
6,0.7379487143365311,0.9492422281655307,4.829007832465633,0.8501564491829876,42.41
7,0.6091122436291964,0.9604578264745636,4.76965919194683,0.8528218797079615,42.15
8,0.5236577286014279,0.9660081097403158,4.714043324608957,0.8532854328427396,42.15
9,0.4501314464124661,0.9703218013976361,4.646030970158115,0.8537489859775177,42.22
10,0.38513444455696155,0.9742616397779886,4.595133559165463,0.8539807625449067,42.01
11,0.35377673139271226,0.9763897276622667,4.558691893469903,0.8544443156796848,42.36
12,0.3053471583957425,0.9809622408190263,4.445447164581668,0.8546760922470739,42.67
13,0.2643536729527137,0.9830040548701579,4.1873186930533375,0.8551396453818519,42.19
14,0.23597536595315224,0.9863112184741035,4.1651939707417645,0.8559508633677135,42.28
15,0.23634113564267514,0.9846144997555575,4.142739620516377,0.856298528218797,42.43
16,0.2145674789029032,0.9868001035285998,4.132396373825688,0.8571097462046587,42.53
17,0.2097764916983237,0.9863974923072498,3.955243703242271,0.8580368524742149,42.78
18,0.186264375363353,0.9884105484139993,3.920913616688021,0.8581527407579094,42.53
19,0.18848649675213403,0.9882667586920887,3.701368974101159,0.8583845173252984,42.59
20,0.1707221184733616,0.9891007390791706,3.609660955398313,0.85919573531116,42.82
21,0.16558741298308263,0.9893595605786099,3.454008722305298,0.8598910650133271,42.33
22,0.16567012730346914,0.9896183820780491,3.254069455977409,0.8605863947154943,42.27
23,0.16259342646618105,0.9900785091881632,3.025684930047681,0.8611658361339669,42.96
24,0.15172522119623172,0.9910562792971558,2.7763526962649435,0.8617452775524395,42.45
25,0.15180962954717162,0.9912000690190665,2.4770353451851877,0.862092942403523,42.20
26,0.13749688362226517,0.9913438587409772,2.46512844908622,0.8626723838219956,42.32
27,0.13800932958866785,0.9923791447387341,1.991097585232027,0.8637153783752463,42.89
28,0.1231182653541318,0.9933856727921088,1.729216665606345,0.8641789315100243,42.49
29,0.13491426340777513,0.9917464699623271,1.634396698013429,0.8661490323328311,41.96
30,0.13180391099846478,0.9924366606274984,1.3095084797951484,0.8668443620349983,42.35
31,0.13880600379990915,0.992350386794352,1.0870168678222163,0.8670761386023873,42.38
32,0.14570212154423148,0.9909124895752451,0.7490064071070764,0.8713640050990845,42.89
33,0.13044115876881435,0.9918902596842377,0.7358144912027543,0.8753042067446981,41.59
34,0.12471211626884621,0.9924366606274984,0.613377288464577,0.8782014138370611,42.30
35,0.12936120492354952,0.9924079026831162,0.5990593343011795,0.8831846100359254,42.07
